Transaction_ID,Date,Department,Expense_Type,Vendor,Region,Expense,Budget,Average_Expense,Expense_Variance,Budget_Utilization_Percentage,Expense_Status,Tax_Amount,Net_Payment,Quarter,Fiscal_Year,Approval_Status,Employee_Count_In_Department,Project_Code
CORP_TXN_0001,01-01-2025,HR,Training,DataPeak Systems,East,48976.34,250000,48976.34,201023.66,19.59,Within Budget,8815.74,57792.08,Q1,FY 2025-26,Approved,229,PRJ-1625
CORP_TXN_0002,03-01-2025,Legal,Consulting,Prime Logistics,North,179637.65,200000,179637.65,20362.35,89.82,Within Budget,32334.78,211972.43,Q1,FY 2025-26,Approved,49,PRJ-6524
CORP_TXN_0003,05-01-2025,Procurement,Advertising,FinEdge Corp,North,217964.69,450000,217964.69,232035.31,48.44,Within Budget,39233.64,257198.33,Q1,FY 2025-26,Pending,213,PRJ-2435
CORP_TXN_0004,07-01-2025,Customer Support,Office Supplies,Prime Logistics,West,44216.16,350000,44216.16,305783.84,12.63,Within Budget,7958.91,52175.07,Q1,FY 2025-26,Approved,246,PRJ-1719
CORP_TXN_0005,09-01-2025,IT,Payroll,TechNova Solutions,East,59718.67,600000,59718.67,540281.33,9.95,Within Budget,10749.36,70468.03,Q1,FY 2025-26,Pending,161,PRJ-8813
CORP_TXN_0006,11-01-2025,Marketing,Cloud Services,SecureNet,East,255405.35,500000,255405.35,244594.65,51.08,Within Budget,45972.96,301378.31,Q1,FY 2025-26,Rejected,220,PRJ-8912
CORP_TXN_0007,13-01-2025,Operations,Maintenance,Prime Logistics,North,200658.05,800000,200658.05,599341.95,25.08,Within Budget,36118.45,236776.5,Q1,FY 2025-26,Pending,243,PRJ-9400
CORP_TXN_0008,15-01-2025,Legal,Consulting,NextGen Labs,Central,200547.15,200000,190092.4,-547.15,100.27,Over Budget,36098.49,236645.64,Q1,FY 2025-26,Rejected,122,PRJ-7136
CORP_TXN_0009,17-01-2025,Procurement,Software License,FinEdge Corp,North,258018.99,450000,237991.84,191981.01,57.34,Within Budget,46443.42,304462.41,Q1,FY 2025-26,Pending,183,PRJ-5290
CORP_TXN_0010,19-01-2025,Finance,Advertising,DataPeak Systems,North,117651.94,300000,117651.94,182348.06,39.22,Within Budget,21177.35,138829.29,Q1,FY 2025-26,Rejected,131,PRJ-7351
CORP_TXN_0011,21-01-2025,Customer Support,Advertising,CloudSphere,East,29484.78,350000,36850.47,320515.22,8.42,Within Budget,5307.26,34792.04,Q1,FY 2025-26,Approved,244,PRJ-6765
CORP_TXN_0012,23-01-2025,Operations,Office Supplies,TechNova Solutions,East,171299.31,800000,185978.68,628700.69,21.41,Within Budget,30833.88,202133.19,Q1,FY 2025-26,Pending,210,PRJ-4823
CORP_TXN_0013,25-01-2025,Procurement,Cloud Services,FinEdge Corp,Central,294685.51,450000,256889.73,155314.49,65.49,Within Budget,53043.39,347728.9,Q1,FY 2025-26,Pending,111,PRJ-8557
CORP_TXN_0014,27-01-2025,HR,Software License,AdVision Media,North,62050.09,250000,55513.21,187949.91,24.82,Within Budget,11169.02,73219.11,Q1,FY 2025-26,Pending,219,PRJ-6767
CORP_TXN_0015,29-01-2025,Marketing,Office Supplies,TechNova Solutions,North,199423.82,500000,227414.59,300576.18,39.88,Within Budget,35896.29,235320.11,Q1,FY 2025-26,Rejected,31,PRJ-9361
CORP_TXN_0016,31-01-2025,Sales,Travel,TechNova Solutions,Central,47799.02,700000,47799.02,652200.98,6.83,Within Budget,8603.82,56402.84,Q1,FY 2025-26,Pending,33,PRJ-9955
