date,budget,expense,department,expense_status,variance,utilization_percentage,quarter,fiscal_year
01-01-2025,250000,98611.22,HR,Within Budget,151388.78,39.44,Q1,FY 2025-26
01-03-2025,200000,98302.3,Legal,Within Budget,101697.7,49.15,Q1,FY 2025-26
01-05-2025,250000,129259.19,HR,Within Budget,120740.81,51.7,Q1,FY 2025-26
01-07-2025,450000,116354.37,Procurement,Within Budget,333645.63,25.86,Q1,FY 2025-26
01-09-2025,250000,68907.16,HR,Within Budget,181092.84,27.56,Q1,FY 2025-26
01-11-2025,700000,179264.55,Sales,Within Budget,520735.45,25.61,Q1,FY 2025-26
01-13-2025,800000,70038.63,Operations,Within Budget,729961.37,8.75,Q1,FY 2025-26
01-15-2025,200000,237736.69,Legal,Over Budget,-37736.69,118.87,Q1,FY 2025-26
01-17-2025,350000,128838.56,Customer Support,Within Budget,221161.44,36.81,Q1,FY 2025-26
01-19-2025,250000,111751.22,HR,Within Budget,138248.78,44.7,Q1,FY 2025-26
01-21-2025,900000,53060.1,R&D,Within Budget,846939.9,5.9,Q1,FY 2025-26
01-23-2025,250000,50510.25,HR,Within Budget,199489.75,20.2,Q1,FY 2025-26
01-25-2025,300000,59718.67,Finance,Within Budget,240281.33,19.91,Q1,FY 2025-26
01-27-2025,250000,105245.42,HR,Within Budget,144754.58,42.1,Q1,FY 2025-26
01-29-2025,200000,182687.22,Legal,Within Budget,17312.78,91.34,Q1,FY 2025-26
01-31-2025,500000,154055.49,Marketing,Within Budget,345944.51,30.81,Q1,FY 2025-26
02-02-2025,250000,236418.56,HR,Within Budget,13581.44,94.57,Q1,FY 2025-26
02-04-2025,700000,168459.32,Sales,Within Budget,531540.68,24.07,Q1,FY 2025-26
02-06-2025,900000,81887.18,R&D,Within Budget,818112.82,9.1,Q1,FY 2025-26
02-08-2025,350000,200658.05,Customer Support,Within Budget,149341.95,57.33,Q1,FY 2025-26
02-10-2025,350000,247568.09,Customer Support,Within Budget,102431.91,70.73,Q1,FY 2025-26
02-12-2025,700000,28450.73,Sales,Within Budget,671549.27,4.06,Q1,FY 2025-26
02-14-2025,450000,144456.34,Procurement,Within Budget,305543.66,32.1,Q1,FY 2025-26
02-16-2025,450000,200547.15,Procurement,Within Budget,249452.85,44.57,Q1,FY 2025-26
02-18-2025,350000,269777.11,Customer Support,Within Budget,80222.89,77.08,Q1,FY 2025-26
02-20-2025,900000,168167.48,R&D,Within Budget,731832.52,18.69,Q1,FY 2025-26
02-22-2025,200000,127993.45,Legal,Within Budget,72006.55,64.0,Q1,FY 2025-26
02-24-2025,250000,258018.99,HR,Over Budget,-8018.99,103.21,Q1,FY 2025-26
02-26-2025,300000,224602.66,Finance,Within Budget,75397.34,74.87,Q1,FY 2025-26
02-28-2025,600000,276252.63,IT,Within Budget,323747.37,46.04,Q1,FY 2025-26
03-02-2025,500000,71784.89,Marketing,Within Budget,428215.11,14.36,Q1,FY 2025-26
03-04-2025,700000,177406.01,Sales,Within Budget,522593.99,25.34,Q1,FY 2025-26
03-06-2025,600000,223856.16,IT,Within Budget,376143.84,37.31,Q1,FY 2025-26
03-08-2025,200000,182621.34,Legal,Within Budget,17378.66,91.31,Q1,FY 2025-26
03-10-2025,700000,29484.78,Sales,Within Budget,670515.22,4.21,Q1,FY 2025-26
03-12-2025,350000,49243.26,Customer Support,Within Budget,300756.74,14.07,Q1,FY 2025-26
03-14-2025,700000,28528.01,Sales,Within Budget,671471.99,4.08,Q1,FY 2025-26
03-16-2025,700000,299326.96,Sales,Within Budget,400673.04,42.76,Q1,FY 2025-26
03-18-2025,200000,171299.31,Legal,Within Budget,28700.69,85.65,Q1,FY 2025-26
